Estado,Fecha,Positivos,Defunciones
Aguascalientes,2020-08-04,48.0,6.0
Aguascalientes,2020-08-05,30.0,2.0
Aguascalientes,2020-08-06,30.0,6.0
Aguascalientes,2020-08-07,40.0,7.0
Aguascalientes,2020-08-08,55.0,5.0
Aguascalientes,2020-08-09,48.0,5.0
Aguascalientes,2020-08-10,73.0,3.0
Aguascalientes,2020-08-11,47.0,4.0
Aguascalientes,2020-08-12,53.0,5.0
Aguascalientes,2020-08-13,42.0,5.0
Aguascalientes,2020-08-14,84.0,5.0
Aguascalientes,2020-08-15,77.0,8.0
Aguascalientes,2020-08-16,55.0,5.0
Aguascalientes,2020-08-17,69.0,4.0
Aguascalientes,2020-08-18,53.0,5.0
Aguascalientes,2020-08-19,62.0,4.0
Aguascalientes,2020-08-20,65.0,5.0
Aguascalientes,2020-08-21,53.0,6.0
Aguascalientes,2020-08-22,56.0,2.0
Aguascalientes,2020-08-23,62.0,2.0
Aguascalientes,2020-08-24,64.0,16.0
Aguascalientes,2020-08-25,79.0,6.0
Aguascalientes,2020-08-26,47.0,5.0
Aguascalientes,2020-08-27,62.0,10.0
Aguascalientes,2020-08-28,55.0,6.0
Aguascalientes,2020-08-29,44.0,4.0
Aguascalientes,2020-08-30,52.0,2.0
Aguascalientes,2020-08-31,82.0,9.0
Aguascalientes,2020-09-01,69.0,4.0
Aguascalientes,2020-09-02,46.0,14.0
Aguascalientes,2020-09-03,45.0,6.0
Aguascalientes,2020-09-04,36.0,8.0
Aguascalientes,2020-09-05,57.0,12.0
Aguascalientes,2020-09-06,39.0,6.0
Aguascalientes,2020-09-07,57.0,8.0
Aguascalientes,2020-09-08,44.0,9.0
Aguascalientes,2020-09-09,53.0,7.0
Aguascalientes,2020-09-10,46.0,2.0
Aguascalientes,2020-09-11,34.0,6.0
Aguascalientes,2020-09-12,42.0,6.0
Aguascalientes,2020-09-13,26.0,4.0
Aguascalientes,2020-09-14,60.0,9.0
Aguascalientes,2020-09-15,46.0,5.0
Aguascalientes,2020-09-16,41.0,7.0
Aguascalientes,2020-09-17,67.0,7.0
Aguascalientes,2020-09-18,57.0,7.0
Aguascalientes,2020-09-19,47.0,5.0
Aguascalientes,2020-09-20,76.0,8.0
Aguascalientes,2020-09-21,61.0,12.0
Aguascalientes,2020-09-22,48.0,6.0
Aguascalientes,2020-09-23,52.0,4.0
Aguascalientes,2020-09-24,60.0,7.0
Aguascalientes,2020-09-25,63.0,5.0
Aguascalientes,2020-09-26,60.0,3.0
Aguascalientes,2020-09-27,48.0,6.0
Aguascalientes,2020-09-28,81.0,9.0
Aguascalientes,2020-09-29,62.0,7.0
Aguascalientes,2020-09-30,60.0,5.0
Aguascalientes,2020-10-01,74.0,11.0
Aguascalientes,2020-10-02,69.0,1.0
Aguascalientes,2020-10-03,66.0,3.0
Aguascalientes,2020-10-04,62.0,7.0
Aguascalientes,2020-10-05,79.0,8.0
Aguascalientes,2020-10-06,77.0,5.0
Aguascalientes,2020-10-07,66.0,2.0
Aguascalientes,2020-10-08,81.0,6.0
Aguascalientes,2020-10-09,67.0,3.0
Aguascalientes,2020-10-10,77.0,5.0
Aguascalientes,2020-10-11,57.0,3.0
Aguascalientes,2020-10-12,109.0,7.0
Aguascalientes,2020-10-13,83.0,8.0
Aguascalientes,2020-10-14,85.0,3.0
Aguascalientes,2020-10-15,100.0,6.0
Aguascalientes,2020-10-16,101.0,3.0
Aguascalientes,2020-10-17,74.0,13.0
Aguascalientes,2020-10-18,82.0,4.0
Aguascalientes,2020-10-19,146.0,11.0
Aguascalientes,2020-10-20,124.0,11.0
Aguascalientes,2020-10-21,119.0,9.0
Aguascalientes,2020-10-22,112.0,11.0
Aguascalientes,2020-10-23,118.0,7.0
Aguascalientes,2020-10-24,114.0,9.0
Aguascalientes,2020-10-25,127.0,7.0
Aguascalientes,2020-10-26,160.0,3.0
Aguascalientes,2020-10-27,134.0,4.0
Aguascalientes,2020-10-28,137.0,3.0
Aguascalientes,2020-10-29,109.0,7.0
Aguascalientes,2020-10-30,101.0,6.0
Aguascalientes,2020-10-31,85.0,7.0
Aguascalientes,2020-11-01,87.0,6.0
Aguascalientes,2020-11-02,104.0,10.0
Aguascalientes,2020-11-03,108.0,10.0
Aguascalientes,2020-11-04,60.0,6.0
Aguascalientes,2020-11-05,35.0,9.0
Aguascalientes,2020-11-06,20.0,15.0
